iter	Passed	Remaining
1582	2246	591
1583	2248	590
1584	2250	589
1585	2251	587
1586	2253	586
1587	2255	585
1588	2256	583
1589	2258	582
1590	2259	580
1591	2261	579
1592	2262	577
1593	2263	576
1594	2265	575
1595	2266	573
1596	2267	572
1597	2268	570
1598	2269	569
1599	2270	567
1600	2271	566
1601	2272	564
1602	2273	563
1603	2274	561
1604	2275	560
1605	2276	558
1606	2279	557
1607	2280	556
1608	2282	554
1609	2283	553
1610	2285	551
1611	2286	550
1612	2287	548
1613	2288	547
1614	2289	545
1615	2289	544
1616	2290	542
1617	2291	541
1618	2293	539
1619	2294	538
1620	2295	536
1621	2297	535
1622	2298	533
1623	2299	532
1624	2300	530
1625	2301	529
1626	2302	527
1627	2303	526
1628	2304	524
1629	2305	523
1630	2306	521
1631	2307	520
1632	2309	519
1633	2311	517
1634	2312	516
1635	2313	514
1636	2314	513
1637	2316	511
1638	2317	510
1639	2318	508
1640	2319	507
1641	2320	506
1642	2321	504
1643	2322	503
1644	2324	501
1645	2325	500
1646	2325	498
1647	2326	496
1648	2328	495
1649	2329	494
1650	2331	492
1651	2332	491
1652	2333	489
1653	2334	488
1654	2335	486
1655	2336	485
1656	2337	483
1657	2338	482
1658	2339	480
1659	2341	479
1660	2342	478
1661	2343	476
1662	2344	475
1663	2345	473
1664	2346	472
1665	2347	470
1666	2348	469
1667	2349	467
1668	2350	466
1669	2351	464
1670	2352	463
1671	2353	461
1672	2354	460
1673	2355	458
1674	2356	457
1675	2357	455
1676	2358	454
1677	2359	452
1678	2360	451
1679	2361	449
1680	2362	448
1681	2363	446
1682	2364	445
1683	2364	443
1684	2365	442
1685	2366	440
1686	2367	439
1687	2368	437
1688	2369	436
1689	2370	434
1690	2371	433
1691	2373	432
1692	2374	430
1693	2376	429
1694	2378	427
1695	2380	426
1696	2381	425
1697	2382	423
1698	2385	422
1699	2387	421
1700	2389	419
1701	2390	418
1702	2392	417
1703	2393	415
1704	2395	414
1705	2396	413
1706	2397	411
1707	2399	410
1708	2400	408
1709	2401	407
1710	2403	405
1711	2404	404
1712	2405	403
1713	2407	401
1714	2408	400
1715	2409	398
1716	2411	397
1717	2412	395
1718	2414	394
1719	2415	393
1720	2417	391
1721	2418	390
1722	2419	389
1723	2421	387
1724	2422	386
1725	2423	384
1726	2424	383
1727	2425	381
1728	2427	380
1729	2429	379
1730	2431	377
1731	2432	376
1732	2434	375
1733	2436	373
1734	2437	372
1735	2439	370
1736	2441	369
1737	2446	368
1738	2447	367
1739	2448	365
1740	2450	364
1741	2452	363
1742	2453	361
1743	2455	360
